첵제목,작가명,내용요약
구금시설 과밀수용과 수용자 인권 토론회,,"형법 제51조는 양형의 조건으로 가장 중요한 것은 투명하고 예측 가능한 양형이 실현되는 것이고, 대부분의 범죄에 설정된 양형기준을 형사재판 실무에 적용하여 국민의 믿음을 높이기 위해 노력하며 실제로 법정형이 올라가고 형벌의 적용이 엄격하게 되고 있다. 다만 양형기준설정 자체에 구금수용을 고려하는 것을 원칙으로 한다는 점에서 과밀수용이 계속될 경우 양형기준 완화, 비징역형 처벌의 도입 등 요인이 될수 있다."
한국의 사회동향 2019,통계청 통계개발원,"｢주거실태조사｣ 를 분석한 결과로 청년 1인가구의 주택점유형태는 월세가 차지하는 비중이 매우 컸으며 주거취약 형태로 분류되는 주택에 거주하는 비율이 높았고, 특히 대도시 지역 청년 1인가구의 주거환경과 주거의 질이 열악했다."
"통일정책연구 2017, 제26권 2호",,따라서 정확한 금액 산정이 어렵다. 예를들면 난민 환대 정책을 주도한 독일은 2015년 약 211억 유로의 난민 통합 비용이 들었고 2017년에도 난민 지원 비용이 GDP의 1% 이상을 차지할 것으로 예상하고 있다.
문재인 대통령 연설문집 제1권(상): 2017. 5. 10 ~ 2017. 10. 31,,새 정부의 경제 정책 방향은 '사람중심 경제'를 지향해 국민과 가계를 경제정책의 중심에 놓고 일자리를 높인다는 것입니다. 우리 정부는 종합적인 일자리정책을 준비 중이며 다른 정책도 일자리 중심으로 재편할 계획입니다.
비산먼지 관리 매뉴얼,환경부,건설폐기물이란  공사로인하여 착공하는때부터 완료하는데까지 발생되는5톤이상 폐기물을 뜻한다.
폭력적 극단주의(Violent Extremism) ISIL의 발호 현황과 전망,,"미국의 '테러와의 전쟁'은 알-카에다의 해체 및 지도부 제거 등의 목적을 달성하였지만, 폭력적 극단주의는 사라지지 않고 또다른 테러집단으로 등장하였다. ISIL이 이 새로운 이슬람 극단주의 테러리즘의 중심에 있다."
국제 시장 메커니즘을 활용한 온실가스 감축방안 연구,국무조정실 녹색성장지원단,"모든 권한을 주최국에게 전담하도록 하여, 거버넌스 체계 및 규정에 있어서 CDM과 JCM에 비해 각 국의 자유도가 높다."
(법의학자가 풀어본 그림속) 표정의 심리와 해부,문국진 지음,화가는 “보는 것은 그때마다 새로운 것이 태어나는 것을 의미한다”라고 말했다.  그의 초·중기 작품에는 거대한 안구 등으로 자신의 시각의 근원을 표현했고 만년에는 꽃을 눈으로 표현하기도 했다.
개원 30주년 기념세미나,한국노동연구원,"한국, 영국, 독일 세 나라의 2005~2008년 직장유지율에서 성별, 고용형태별, 기업규모별, 직종별, 학력별 직장유지율 격차가 가장 큰 나라는 한국이다. 그 중 변수를 통제한 후 독립적 영향을 분석한 결과 두 나라에 비해 가장 큰 영향을 미치는 변수는 성이었다."
규제비용관리제의 효과성 제고 방안,,조직효과성 측정을 위해서는 이해관계자 접근방법이 유용하며 이를 위한 평가지표는 크게 과정중심적 측면과 결과중심적 측면의 2가지가 있다. 또한 대외적 유연성 등의 다른 요소도 지표로 활용하기도 한다.
제79회 원자력안전위원회,원자력안전위원회,세계적으로 해결 방안이 없는 저선량에 대한 정확한 답을 찾기 위한 설계 문제를 이유로 시간이 지나치게 소요되고 있는 것은 문제가 있다고 생각합니다.
콘텐츠 산업 자금조달 활성화 방안 연구,,저작권 신탁형 유동화를 활성키 위해서는 제도적 보완이 필요하다. 우선 자산유동화 제도의 근간이 되는 현금흐름의 안전성을 제고할 필요가 있다.
한국의 세기 뛰어넘기,권태준 지음,UN 또한 민생문제 해결의 중요성을 알아 이때를 개발연대로 선포했다. 이 시기는 민생을 위해 나라를 변혁한다는 이론인 제 3세계주의가 확산된 시대이기 때문이다.
중국의 동북지역 개발과 신북방경제협력의 여건,,16차 당대회 보고에서 중국의 동북지역에 대한 기업개혁을 밀고 나아가는 것이 시작됐고 중앙당국이 중국의 동북 지역에 있는 낡은 공업기지를 일으키겠다는 전략을 처음으로 제시했다. 2003년 10월에 중국의 공산당과 정부는 동북진흥전략을 발표했고 이 전략을 수행할 담당하는 조직인 동북지역 등 노후 공업기지 진흥 영도소조를 국무원 아래에 배치했다.
ICT 발전트렌드에 대응하는 공간정보의 환경이슈 적용 체계 구축,,설악산과 한려해양국립공원 내 홍도의 해양생태계를 소개하는 가상현실 서비스는 자연을 쉽고 생생하게 체험하고 싶어 하는 요구들을 반영한 것으로 더 많은 국립공원에 확대 적용하기로 하였다.
한국과 독일 금형산업의 노동시장과 숙련형성 비교연구,,"한국은 1994년까지만 하더라도 금형산업의 일본에 대한 무역수지가 적자였다. 하지만 그 이후 수출이 증가하면서 일본제품을 대체하여 다른 나라에 수출하는 양도 증가하였고, 일본과의 무역에서는 적자였으나 전체적으로는 흑자를 달성하고 있었다. 2014년에는 수출액이 일본을 넘어서 세계 2위의 수출국으로 부상했다."
고령화의 도전과 기회 - ICT를 활용한 대응의 국제적 논의와 시사점,,본 연구의 연구진을 비롯하여 연구에 도움을 준 여러 연구원들 및 전문가들에게 감사를 전합니다. 본 연구가 고령화 진행 상황 및 대응 필요성 인식을 높이고 ICT를 활용한 대응에 기여하기를 바랍니다.
아동의 출생신고 권리보장 방안모색 토론회,,신고의무자가 고의로 신고를 기피하는 문제를 해결하기 위해 출생자동등록제를 도입해야 한다.
중견기업의 성장경로 분석과 맞춤형 지원 방안,,메디톡신은 품질이나 기술력 등 다방면에서 글로벌 우수 제품이다. 실질적 성능은 보톡스와 같지만 가장 큰 경쟁력은 가격이다. 고가에 해당하는 보톡스류의 70% 로 가격이 저렴하다. 보톡스는 여러번 시술해야 하기 때문에 소비자들에게 가격 부담이 되고 있다. 메디톡신의 상대적으로 저렴한 가격대는 개발도상국 진출에도 큰 경쟁력이 되며 또한 자체적인 기술 보유와 생산력으로 원가를 절감하고 있다.
어항정보시스템 구축을 위한 기초조사 및 활용방안 연구,,"한국어촌어항협회는 홈페이지와 더불어 한국의 어항 홍보책자를 통해 어항에 대한 다양한 정보와 자료, 관련 현황을 소개하고 있다."
웹기반 여성정보 네트워크 활성화 방안 연구,백영주,"시스템 품질과 사용용이성, 유용성은 네트워크 활성화 수준과 높은 관계가 있다. 그러나 아직 양방향 커뮤니케이션과 네트워크 활성화 수준과의 상관관계를 도출하지 못했기 때문에 이들 변수에 대한 추가연구가 필요할 것으로 보인다. "
신기술 및 고령화 등 교통환경 변화에 대응한 교통정책 구현 로드맵 수립 : 교통혁신기술의 정책구현을 중심으로,,"탄소제로 도시는 이산화탄소 배출이 없는 도시로, 에너지 효율화 등을 통해 탄소배출을 최소한으로 줄이는 도시를 말한다. 이 개념은 주로 도시 재개발, 개도국이나 중동지역의 신도시 건설에서 활용되고 있다."
데이터 기반 헬스케어 혁신의 부상과 대응전략,,"의료기관의 경영 효율성과 환자의 만족도를 높이기 위해 의료기관 시스템상의 여러 노력이 있었다. 병원의 특성에 맞는 특수진료를 개발하고 병상회전율 증대, 재원일수 단축, 환자 대기시간 단축, 응급실 체류시간 단축 등의 변화를 했다. 간호부문에서는 검사 설명방법을 개선하고 환자관리 업무를 개선하였고, 행정부문에서는 결재 프로세스를 개선하고 입원 예약프로그램 활용 등 각 부문에서 혁신이 시도되었다."
국제노동브리프 2015년 10월호(Vol.13. No.10),,"H1-B 비자는 기업 내 수요가 큰 특정 기술 직군에 대해 소수의 외국 인력을 고용하기 위한 프로그램이지만 지난 몇 년간 인도에 기반을 둔 아웃소싱, 컨설팅 회사들이 대거 이 비자를 받고 있다."
국제노동브리프 2016년 10월호(Vol.14. No.10),,"조사에 따르면 대다수의 성인 근로자들은 감기나 독감에 걸려도 출근을 하였는데, 이 출근이 타인의 건강에 악영향을 미치는 직종도 많았다. 질병 확산 방지를 위해 출근하지 않는 것이 맞다."
디지털 증거의 계층화 연구,원용기,개정한 형사소송법 제106조(압수) 제3항에 따르면 법원은 압수ㆍ수색 대상으로 정해진  '정보저장매체'를 압수하고 수색하는 것을 허용하지만 요증사실과 관련된 정보만 선별하게 하여 '정보저장매체' 자체의 압수를 사실상 제한하고 있다. 또한 참여권 보장을 위해 압수ㆍ수색의 과정을 피압수자에게 노출해야 한다. 때문에 삭제 혹은 은닉된 파일을 복구하는 등 기밀성을 유지해야 하는 수사 기법이 피압수자에게 노출되는 모순에 빠진다.
통일과 법률(제22호),,"일제 공무원 출신자들은 공무원임용령에서 유일하게 자신들이 요건을 충족하도록 만들었고, 기존 공무원에게 임용을 다시 거치도록 한 국가공무원법을 개정하여 일본고등시험 출신자의 재임용이 쉽게 만들었다. 이에 일제 공무원 출신자가 경찰기관 등에 상당수 임용될 수 있었는데, 이 사례는 일괄적인 치안 공무원 승계 이후에 부적격자를 배제하는 정책이 시행되기 어려움을 보여준다. "
청소년 기업가정신 함양 및 창업 활성화 방안 연구Ⅱ : 위기청소년 기업가정신 함양 및 창업 활성화 방안,이유진,미국에서도 청소년에 대한 기업가정신교육의 중요성이 강조되어 공교육 현장을 중심으로 시행되었고 2000년대 초반부터는 성인 교도소에서 수형자에게 기술을 가르치고 2010년까지 30개 주에서 민간단체들이 교정 시설에서 기업가정신교육을 실시했다.
해양정책연구 제29권 제1호 : 2014년 여름,,1998년의 정책연구보고서에서 최초로 수산물 유통구조 개선에 대한 종합적인 대책을 수립하였다. 2010년의 보고서에서는 유통경로를 간략화한 구조도로 제시하며 유통구조 개선방안을 도출하였다.
4차 산업혁명의 노사관계 차원 과제와 대응전략,"이장원, 김기정","4차 산업혁명 후, 창의력과 정보처리능력, 업무 지능화·자동화가 중시되며 온디맨드 경제 및 관련 기술과 플랫폼이 확대될 것이다. 현재의 제품, 서비스 또는 업무 대부분이 소멸하거나 대체되므로 기업은 혁신성을 갖추고 사업과정을 점검하여 사람과 기계에 적절히 일을 배분해야 할 것이다."
한미 환율협상과 외환시장 안정정책의 과제,대외경제정책연구원,"지역통화 도입은 주변국과의 주도권 싸움이 여의치 않은데다가 원화에 대한 공격 우려도 존재하므로, 지역통화는 배제하고 역내 금융협력체제에 주력하는 것이 바람직하다."
문화예술계 블랙리스트 진상조사 및 제도개선위원회 백서 1 : 위원회 활동 보고서,,박근혜와 이명박 정권은 국민들의 비판 의식을 억압하기 위해 블랙리스트로 문화예술인들을 차별했다. 이는 국민의 기본권을 침해하고 대한민국을 전체주의 파시즘 국가로 전환하려는 범죄였다.
